2143
0	0
0.57556	0.8759
0.056268	0.19532
0.031548	0.28269
0.19041	0.20957
0.033684	0.29929
0.21138	0.58655
0.38972	0.37099
0.37387	0.78797
0.73479	0.39393
0.58611	0.68544
0.21166	0.15939
0.55467	0.63397
0.50055	0.61755
0.58924	0.73755
0.62893	0.22392
0.55936	0.84358
0.66326	0.60831
0.61557	0.83617
0.5961	0.58194
0.12104	0.9793
0.24005	0.19317
0.90498	0.26737
0.16783	0.25371
0.96084	0.29478
0.51974	0.59657
0.98152	0.32389
0.60022	0.63342
0.80567	0.38894
0.052897	0.051414
0.035385	0.14747
0.21385	0.2236
0.13714	0.31473
0.3825	0.31858
0.15726	0.2137
0.55962	0.15158
0.035275	0.22292
0.53285	0.2572
0.10702	0.15223
0.20475	0.39021
0.24086	0.53758
0.39749	0.17149
0.45111	0.34156
0.32991	0.25864
0.48237	0.38741
0.040005	0.4157
0	0
0.11223	0.24165
0.24508	0.31192
0.2841	0.19412
0.44428	0.354
0.038159	0.81741
0.050733	0.66511
0.17502	0.61838
0.020147	0.52324
0.14338	0.56794
0.22738	0.78161
0.12035	0.68306
0.079583	0.89154
0.45562	0.85892
0	0
0.23409	0.93719
0.063267	0.85751
0.2274	0.95371
0.63814	0.9708
0.37117	0.89419
0.29693	0.97979
0.77296	0.75435
0.3663	0.97957
0.18973	0.59984
0.25447	0.85613
0.35462	0.38879
0.41641	0.79432
0.27517	0.63334
0.46503	0.44496
0.42124	0.64302
0.7843	0.60832
0.38375	0.77071
0.68447	0.98411
0.73769	0.79611
0.39222	0.91917
0.67419	0.9193
0.44311	0.90484
0.2682	0.95136
0.67962	0.98115
0.69184	0.94767
0.81515	0.95841
0.79702	0.67477
0.82202	0.8089
0.84631	0.92923
0.79571	0.5192
0.69888	0.66581
0.88505	0.11035
0.83229	0.5819
0.74465	0.70709
0.88295	0.6741
0.86279	0.43429
0.70356	0.1536
0.91617	0.50225
0.78047	0.50275
0.92451	0.41779
0.85774	0.34809
0.50534	0.35499
0.66576	0.27487
0.72555	0.23526
0.60501	0.32661
0.78651	0.41105
0.73636	0.33513
0.57363	0.18089
0.13649	0.05849
0.53694	0.19596
0.65932	0.28288
0.5238	0.16331
0.49319	0.090165
0.55383	0.23047
0.67336	0.23981
0.61512	0.14154
0.17421	0.10004
0.62297	0.073678
0.29218	0.038594
0.28073	0.080127
0.45756	0.13906
0.096868	0.23969
0.028558	0.10288
0.075642	0.1409
0.11521	0.065358
0.21808	0.12599
0	0
0.10449	0.16917
0.16319	0.33557
0.19092	0.15001
0.12822	0.18574
0.27044	0.21742
0.37539	0.19891
0.15617	0.10257
0.076028	0.024378
0.10688	0.034372
0.29891	0.07377
0.17807	0.054407
0.20567	0.024326
0.30429	0.052265
0.23368	0.12395
0.4497	0.089217
0.042065	0.030662
0.38682	0.045822
0.3136	0.10916
0.44607	0.024636
0.53906	0.090916
0.54324	0.13895
0.58357	0.014749
0	0
0.4028	0.24683
0.43094	0.12123
0.40217	0.061029
0.54153	0.052756
0.55951	0.27287
0.46453	0.19035
0.30505	0.14148
0.41574	0.25726
0.33803	0.1388
0.29549	0.1514
0.35168	0.10639
0.44277	0.12036
0.25234	0.32986
0.30849	0.21188
0.31136	0.36931
0.37306	0.29149
0.34558	0.32173
0.25397	0.28275
0.38234	0.35696
0.33055	0.35595
0.44911	0.30514
0.43577	0.25302
0.5406	0.3112
0.49903	0.28342
0.45135	0.40768
0.29132	0.38982
0.57076	0.41854
0.44737	0.4401
0.51047	0.43611
0.77526	0.43359
0.30981	0.48171
0.29388	0.41707
0.44107	0.42471
0.35874	0.41165
0.40556	0.43935
0.50665	0.55947
0.14149	0.44505
0.038052	0.48992
